id,vendor,title,handle,created,published,updated,type,price,sku,available,image
4459797643326,HELM,The Zind Olive,zind-olive,2020-03-12T14:03:41-05:00,2020-07-23T20:23:13-05:00,2022-08-19T14:37:36-05:00,Boots,249.00,HBB403016,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-zind-olive-15522561163326.jpg?v=1628082226
4459797643326,HELM,The Zind Olive,zind-olive,2020-03-12T14:03:41-05:00,2020-07-23T20:23:13-05:00,2022-08-19T14:37:36-05:00,Boots,249.00,HBB403016,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-zind-olive-15522548711486.jpg?v=1628082226
4459797643326,HELM,The Zind Olive,zind-olive,2020-03-12T14:03:41-05:00,2020-07-23T20:23:13-05:00,2022-08-19T14:37:36-05:00,Boots,249.00,HBB403016,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-zind-olive-28553768108094.jpg?v=1628082226
4495219753022,HELM,Silver Buckle Slim Belts,silver-buckle-slim-belts,2020-04-20T15:39:53-05:00,2020-07-03T13:02:59-05:00,2022-08-19T10:49:07-05:00,Accessories,98.00,34-46,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-accessories-silver-buckle-slim-belts-28552978858046.jpg?v=1628132987
4495219753022,HELM,Silver Buckle Slim Belts,silver-buckle-slim-belts,2020-04-20T15:39:53-05:00,2020-07-03T13:02:59-05:00,2022-08-19T10:49:07-05:00,Accessories,98.00,34-46,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-accessories-30-black-silver-buckle-slim-belts-28567624908862.jpg?v=1628132987
4495219753022,HELM,Silver Buckle Slim Belts,silver-buckle-slim-belts,2020-04-20T15:39:53-05:00,2020-07-03T13:02:59-05:00,2022-08-19T10:49:07-05:00,Accessories,98.00,34-46,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-accessories-30-dark-natural-silver-buckle-slim-belts-28567869554750.jpg?v=1628132987
4495219753022,HELM,Silver Buckle Slim Belts,silver-buckle-slim-belts,2020-04-20T15:39:53-05:00,2020-07-03T13:02:59-05:00,2022-08-19T10:49:07-05:00,Accessories,98.00,34-46,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-accessories-30-brown-silver-buckle-slim-belts-28555066802238.jpg?v=1628132987
4495219753022,HELM,Silver Buckle Slim Belts,silver-buckle-slim-belts,2020-04-20T15:39:53-05:00,2020-07-03T13:02:59-05:00,2022-08-19T10:49:07-05:00,Accessories,98.00,34-46,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-accessories-30-teak-silver-buckle-slim-belts-28567778426942.jpg?v=1628132987
1924646142014,Otter Wax,Otter Wax - Tampico Suede Brush,otter-wax-tampico-suede-brush,2018-11-14T15:32:53-06:00,2020-06-02T11:13:49-05:00,2022-08-18T19:00:18-05:00,Accessories,5.00,OTWX_BRSH,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-accessories-otter-wax-tampico-suede-brush-15136315473982.jpg?v=1591196806
4465102192702,HELM,Brass Buckle Wide Belts,copy-of-silver-buckle-belts,2020-03-19T12:44:52-05:00,2020-04-02T18:25:49-05:00,2022-08-19T08:52:46-05:00,Accessories,98.00,30 - 46,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-accessories-brass-buckle-wide-belts-28560733077566.jpg?v=1628023719
